Tensao [V];Corrente [A]
-5;-0.001293843
-4.95;-0.001277813
-4.9;-0.001271335
-4.85;-0.001268028
-4.8;-0.001265224
-4.75;-0.001261653
-4.7;-0.001261799
-4.65;-0.001261557
-4.6;-0.001259887
-4.55;-0.00125867
-4.5;-0.001256521
-4.45;-0.001255753
-4.4;-0.001254531
-4.35;-0.001253112
-4.3;-0.001250441
-4.25;-0.001248877
-4.2;-0.001247635
-4.15;-0.001244608
-4.1;-0.001242496
-4.05;-0.001242992
-4;-0.00124251
-3.95;-0.001240096
-3.9;-0.001238133
-3.85;-0.001238564
-3.8;-0.00123728
-3.75;-0.001236645
-3.7;-0.001235063
-3.65;-0.001232709
-3.6;-0.001232341
-3.55;-0.001230882
-3.5;-0.001227944
-3.45;-0.001226882
-3.4;-0.001226986
-3.35;-0.001227159
-3.3;-0.001225118
-3.25;-0.001223447
-3.2;-0.001222075
-3.15;-0.001221415
-3.1;-0.001220095
-3.05;-0.001217819
-3;-0.001216443
-2.95;-0.001215193
-2.9;-0.001201553
-2.85;-0.00120524
-2.8;-0.001206531
-2.75;-0.001206935
-2.7;-0.001205208
-2.65;-0.001203359
-2.6;-0.001199726
-2.55;-0.001196278
-2.5;-0.001191006
-2.45;-0.001186642
-2.4;-0.001181109
-2.35;-0.001173134
-2.3;-0.00116481
-2.25;-0.001149924
-2.2;-0.001138552
-2.15;-0.001130505
-2.1;-0.001118311
-2.05;-0.00110444
-2;-0.001089599
-1.95;-0.001073615
-1.9;-0.001055399
-1.85;-0.001034106
-1.8;-0.001010439
-1.75;-0.0009834292
-1.7;-0.0009504223
-1.65;-0.0009064199
-1.6;-0.000849853
-1.55;-0.0007737298
-1.5;-0.0006741039
-1.45;-0.000542674
-1.4;-0.0003741614
-1.35;-0.0001631528
-1.3;0.000101379
-1.25;0.0004284784
-1.2;0.0008330491
-1.15;0.001341111
-1.1;0.002002447
-1.05;0.003232948
-1;0.004186066
-0.95;0.005954928
-0.9;0.008564877
-0.85;0.01234249
-0.8;0.01775408
-0.75;0.02943911
-0.7;0.0411286
-0.65;0.05638222
-0.6;0.07632262
-0.55;0.1023527
-0.5;0.134782
-0.45;0.1732449
-0.4;0.215819
-0.35;0.2610991
-0.3;0.3086654
-0.25;0.3581202
-0.2;0.409215
-0.15;0.4618235
-0.1;0.5158461
-0.05;0.5712139
0;0.6282342
0.05;0.6860697
0.1;0.7455927
0.15;0.806642
0.2;0.8693385
0.25;0.9338768
0.3;1.000333
0.35;1.068775
0.4;1.139208
0.45;1.211721
0.5;1.286269
0.55;1.362868
0.6;1.44142
0.65;1.521817
0.7;1.603915
0.75;1.687541
0.8;1.772444
0.85;1.858427
0.9;1.945235
0.95;2.032589
1;2.120422
1.05;2.208636
1.1;2.29641
1.15;2.384373
1.2;2.472175
1.25;2.559739
1.3;2.647003
1.35;2.733743
1.4;2.820434
1.45;2.906349
1.5;2.99148
1.55;3.076532
1.6;3.160464
1.65;3.24387
1.7;3.326653
1.75;3.408573
1.8;3.489958
1.85;3.570505
1.9;3.650229
1.95;3.729193
2;3.807279
2.05;3.884858
2.1;3.961573
2.15;4.037463
2.2;4.11263
2.25;4.186823
2.3;4.260544
2.35;4.332878
2.4;4.404373
2.45;4.474583
2.5;4.543884
2.55;4.611635
2.6;4.678216
2.65;4.743579
2.7;4.807598
2.75;4.870567
2.8;4.932681
2.85;4.993241
2.9;5.052563
2.95;5.110663
3;5.167607
3.05;5.223195
3.1;5.277703
3.15;5.331096
3.2;5.383644
3.25;5.434828
3.3;5.485515
3.35;5.535376
3.4;5.584513
3.45;5.633051
3.5;5.681417
3.55;5.728652
3.6;5.775807
3.65;5.822175
3.7;5.868227
3.75;5.913695
3.8;5.958861
3.85;6.003579
3.9;6.048015
3.95;6.091405
4;6.134866
4.05;6.177424
4.1;6.219506
4.15;6.260982
4.2;6.302092
4.25;6.342578
4.3;6.382288
4.35;6.421664
4.4;6.460251
4.45;6.498377
4.5;6.53607
4.55;6.572792
4.6;6.609108
4.65;6.64498
4.7;6.679263
4.75;6.714131
4.8;6.747322
4.85;6.780295
4.9;6.813415
4.95;6.844524
5;6.87615
