Tensao [V];Corrente [A]
-5;-0,0001547187
-4,95;-0,0001421015
-4,9;-0,0001361031
-4,85;-0,0001325266
-4,8;-0,0001299807
-4,75;-0,0001225447
-4,7;-0,0001230336
-4,65;-0,0001208055
-4,6;-0,0001195748
-4,55;-0,0001183577
-4,5;-0,0001183957
-4,45;-0,0001167815
-4,4;-0,0001143387
-4,35;-0,0001138202
-4,3;-0,0001122587
-4,25;-0,0001109337
-4,2;-0,0001086773
-4,15;-0,0001087522
-4,1;-0,0001086344
-4,05;-0,0001069699
-4;-0,0001042159
-3,95;-0,0001034032
-3,9;-0,0001041313
-3,85;-0,0001031777
-3,8;-0,0001011737
-3,75;-9,924209E-05
-3,7;-9,871376E-05
-3,65;-9,81315E-05
-3,6;-9,547069E-05
-3,55;-9,283785E-05
-3,5;-9,323622E-05
-3,45;-9,311856E-05
-3,4;-9,159012E-05
-3,35;-9,033386E-05
-3,3;-8,978104E-05
-3,25;-8,86522E-05
-3,2;-8,681002E-05
-3,15;-8,561128E-05
-3,1;-8,618863E-05
-3,05;-8,430595E-05
-3;-8,408294E-05
-2,95;-8,183011E-05
-2,9;-8,054923E-05
-2,85;-8,023917E-05
-2,8;-7,704629E-05
-2,75;-7,610493E-05
-2,7;-7,568331E-05
-2,65;-7,521628E-05
-2,6;-7,406908E-05
-2,55;-7,304316E-05
-2,5;-6,993484E-05
-2,45;-6,890527E-05
-2,4;-6,718076E-05
-2,35;-6,879988E-05
-2,3;-6,779849E-05
-2,25;-6,706187E-05
-2,2;-6,585087E-05
-2,15;-6,466935E-05
-2,1;-5,730301E-05
-2,05;-5,610802E-05
-2;-5,797596E-05
-1,95;-6,130484E-05
-1,9;-6,286635E-05
-1,85;-6,082561E-05
-1,8;-6,005592E-05
-1,75;-5,638127E-05
-1,7;-5,443984E-05
-1,65;-5,401334E-05
-1,6;-5,410524E-05
-1,55;-5,036326E-05
-1,5;-4,159109E-05
-1,45;-4,087776E-05
-1,4;-3,738945E-05
-1,35;-3,753163E-05
-1,3;-4,387693E-05
-1,25;-4,77023E-05
-1,2;-4,754912E-05
-1,15;-3,262893E-05
-1,1;-3,696172E-05
-1,05;-3,550929E-05
-1;-3,430932E-05
-0,95;-2,502728E-05
-0,9;-4,544214E-05
-0,85;-3,90441E-05
-0,8;-3,038594E-05
-0,75;-2,410312E-05
-0,7;-1,743175E-05
-0,65;-9,746748E-06
-0,6;1,214514E-06
-0,55;2,15747E-05
-0,5;5,886184E-05
-0,45;0,0001288986
-0,4;0,0002550507
-0,35;0,000466345
-0,3;0,0007956324
-0,25;0,001282044
-0,2;0,001984988
-0,15;0,003392778
-0,1;0,004431908
-0,05;0,006208809
0;0,008832837
0,05;0,01068532
0,1;0,01294592
0,15;0,01523644
0,2;0,01747919
0,25;0,01967586
0,3;0,02292854
0,35;0,02500106
0,4;0,02707207
0,45;0,02914521
0,5;0,03118386
0,55;0,03317212
0,6;0,03513115
0,65;0,03705747
0,7;0,03893976
0,75;0,04075658
0,8;0,04252289
0,85;0,04425648
0,9;0,04593786
0,95;0,04755034
1;0,04910295
1,05;0,05062125
1,1;0,05207053
1,15;0,05345235
1,2;0,0547821
1,25;0,05605933
1,3;0,05728313
1,35;0,05844468
1,4;0,05954286
1,45;0,06060475
1,5;0,06162407
1,55;0,06259052
1,6;0,06350359
1,65;0,06437443
1,7;0,06521872
1,75;0,06601799
1,8;0,06676574
1,85;0,06747973
1,9;0,06817974
1,95;0,0688436
2;0,0694626
2,05;0,07006697
2,1;0,07065635
2,15;0,07122498
2,2;0,07175327
2,25;0,07226248
2,3;0,072774
2,35;0,07327193
2,4;0,07373274
2,45;0,0741899
2,5;0,07464035
2,55;0,07508013
2,6;0,07549743
2,65;0,07589757
2,7;0,07629858
2,75;0,07668891
2,8;0,07705833
2,85;0,07741016
2,9;0,0777549
2,95;0,07809694
3;0,07841474
3,05;0,07871355
3,1;0,07900093
3,15;0,0792907
3,2;0,07956975
3,25;0,07981849
3,3;0,08006489
3,35;0,08031849
3,4;0,08054859
3,45;0,08077767
3,5;0,08099369
3,55;0,0812191
3,6;0,08144345
3,65;0,08166091
3,7;0,08187078
3,75;0,08208978
3,8;0,08231995
3,85;0,08254051
3,9;0,08275742
3,95;0,08297064
4;0,08319794
4,05;0,08342229
4,1;0,08363937
4,15;0,08385967
4,2;0,08409546
4,25;0,08431977
4,3;0,08453193
4,35;0,08475462
4,4;0,08498125
4,45;0,08520806
4,5;0,0854276
4,55;0,08564908
4,6;0,08587277
4,65;0,0860947
4,7;0,08630592
4,75;0,086512
4,8;0,08672865
4,85;0,08694777
4,9;0,08715269
4,95;0,08734926
5;0,0875558
