Tensao [V];Corrente [A]
-5;-0,0003659916
-4,95;-0,0003491201
-4,9;-0,000342683
-4,85;-0,0003380314
-4,8;-0,0003360874
-4,75;-0,0003338616
-4,7;-0,0003318699
-4,65;-0,0003301195
-4,6;-0,0003289943
-4,55;-0,0003279794
-4,5;-0,00032544
-4,45;-0,0003231158
-4,4;-0,0003228123
-4,35;-0,0003236909
-4,3;-0,0003231051
-4,25;-0,0003218216
-4,2;-0,0003207884
-4,15;-0,0003194621
-4,1;-0,0003180086
-4,05;-0,0003166713
-4;-0,0003160792
-3,95;-0,0003185626
-3,9;-0,0003188224
-3,85;-0,0003145093
-3,8;-0,0003115579
-3,75;-0,0003120531
-3,7;-0,0003112011
-3,65;-0,0003105224
-3,6;-0,0003095408
-3,55;-0,0003073671
-3,5;-0,0003057249
-3,45;-0,0003046082
-3,4;-0,0003039427
-3,35;-0,0003026239
-3,3;-0,0003015697
-3,25;-0,000299067
-3,2;-0,0002971047
-3,15;-0,0002961228
-3,1;-0,0002974245
-3,05;-0,0002979027
-3;-0,0002969513
-2,95;-0,000295869
-2,9;-0,0002949646
-2,85;-0,0002937621
-2,8;-0,0002920327
-2,75;-0,0002912507
-2,7;-0,0002903892
-2,65;-0,0002896647
-2,6;-0,0002861211
-2,55;-0,0002832154
-2,5;-0,000282209
-2,45;-0,000281623
-2,4;-0,0002802599
-2,35;-0,0002776897
-2,3;-0,0002747395
-2,25;-0,0002707709
-2,2;-0,0002678571
-2,15;-0,0002643446
-2,1;-0,0002612595
-2,05;-0,0002559695
-2;-0,0002506156
-1,95;-0,0002450437
-1,9;-0,0002390034
-1,85;-0,0002344734
-1,8;-0,0002292214
-1,75;-0,0002230538
-1,7;-0,0002164926
-1,65;-0,000209499
-1,6;-0,0002011752
-1,55;-0,0001942759
-1,5;-0,0001848013
-1,45;-0,0001737434
-1,4;-0,000161147
-1,35;-0,0001450145
-1,3;-0,0001232181
-1,25;-9,491714E-05
-1,2;-5,954386E-05
-1,15;-1,130096E-05
-1,1;5,288679E-05
-1,05;0,0001378971
-1;0,0002505657
-0,95;0,0004014911
-0,9;0,0006164731
-0,85;0,0009357712
-0,8;0,001428361
-0,75;0,002569901
-0,7;0,003498031
-0,65;0,005423556
-0,6;0,008343323
-0,55;0,01249416
-0,5;0,01816536
-0,45;0,02974348
-0,4;0,0407326
-0,35;0,05413101
-0,3;0,06999374
-0,25;0,0881605
-0,2;0,1082853
-0,15;0,1303292
-0,1;0,1541464
-0,05;0,1793881
0;0,2060427
0,05;0,2335204
0,1;0,2620832
0,15;0,2913065
0,2;0,3211369
0,25;0,3516901
0,3;0,3830046
0,35;0,4150461
0,4;0,447788
0,45;0,4812389
0,5;0,515394
0,55;0,5502525
0,6;0,5858366
0,65;0,6221358
0,7;0,6591006
0,75;0,6966808
0,8;0,7347941
0,85;0,7733776
0,9;0,8122469
0,95;0,8512495
1;0,8901285
1,05;0,9287432
1,1;0,9669084
1,15;1,004536
1,2;1,041493
1,25;1,077693
1,3;1,112983
1,35;1,147312
1,4;1,180624
1,45;1,21297
1,5;1,244316
1,55;1,274621
1,6;1,303973
1,65;1,332384
1,7;1,35997
1,75;1,386741
1,8;1,412755
1,85;1,438069
1,9;1,462702
1,95;1,486738
2;1,510183
2,05;1,533067
2,1;1,555433
2,15;1,577245
2,2;1,598374
2,25;1,618989
2,3;1,639019
2,35;1,658467
2,4;1,677333
2,45;1,69554
2,5;1,713222
2,55;1,730347
2,6;1,746888
2,65;1,762845
2,7;1,778336
2,75;1,793261
2,8;1,807653
2,85;1,821518
2,9;1,834905
2,95;1,847755
3;1,860139
3,05;1,872109
3,1;1,883626
3,15;1,894787
3,2;1,905636
3,25;1,916152
3,3;1,926477
3,35;1,936573
3,4;1,946557
3,45;1,956299
3,5;1,96595
3,55;1,975529
3,6;1,985051
3,65;1,994401
3,7;2,003826
3,75;2,013123
3,8;2,022404
3,85;2,031646
3,9;2,040776
3,95;2,049829
4;2,058937
4,05;2,06784
4,1;2,076843
4,15;2,085737
4,2;2,094598
4,25;2,10343
4,3;2,112032
4,35;2,12076
4,4;2,129134
4,45;2,137837
4,5;2,146138
4,55;2,154541
4,6;2,162669
4,65;2,170884
4,7;2,178698
4,75;2,186677
4,8;2,194478
4,85;2,20207
4,9;2,209572
4,95;2,2171
5;2,224293
