Tensao [V];Corrente [A]
-5;-0.0001285082
-4.95;-0.0001153053
-4.9;-0.0001094676
-4.85;-0.0001067722
-4.8;-0.0001037719
-4.75;-0.0001014493
-4.7;-9.860578E-05
-4.65;-9.485893E-05
-4.6;-9.392741E-05
-4.55;-9.291005E-05
-4.5;-9.472403E-05
-4.45;-9.127876E-05
-4.4;-9.049311E-05
-4.35;-9.018422E-05
-4.3;-8.835067E-05
-4.25;-8.738611E-05
-4.2;-8.612979E-05
-4.15;-8.533185E-05
-4.1;-8.406696E-05
-4.05;-8.205691E-05
-4;-7.924642E-05
-3.95;-7.761264E-05
-3.9;-7.596413E-05
-3.85;-7.572516E-05
-3.8;-7.546038E-05
-3.75;-7.422863E-05
-3.7;-7.371506E-05
-3.65;-7.228596E-05
-3.6;-7.196973E-05
-3.55;-7.124165E-05
-3.5;-7.030895E-05
-3.45;-6.879156E-05
-3.4;-6.667731E-05
-3.35;-6.497734E-05
-3.3;-6.245494E-05
-3.25;-6.338275E-05
-3.2;-6.265469E-05
-3.15;-6.171579E-05
-3.1;-6.086406E-05
-3.05;-5.917009E-05
-3;-5.874119E-05
-2.95;-5.748123E-05
-2.9;-5.580695E-05
-2.85;-5.443416E-05
-2.8;-5.376747E-05
-2.75;-5.225499E-05
-2.7;-5.217285E-05
-2.65;-5.043243E-05
-2.6;-4.96345E-05
-2.55;-4.937832E-05
-2.5;-4.742464E-05
-2.45;-4.661327E-05
-2.4;-4.546113E-05
-2.35;-4.401853E-05
-2.3;-4.304041E-05
-2.25;-4.220824E-05
-2.2;-4.149E-05
-2.15;-3.976918E-05
-2.1;-3.723451E-05
-2.05;-3.528445E-05
-2;-3.584213E-05
-1.95;-3.58299E-05
-1.9;-3.533838E-05
-1.85;-3.395707E-05
-1.8;-3.317878E-05
-1.75;-3.241642E-05
-1.7;-3.203647E-05
-1.65;-3.026046E-05
-1.6;-2.857642E-05
-1.55;-2.796852E-05
-1.5;-2.560665E-05
-1.45;-2.359903E-05
-1.4;-2.337962E-05
-1.35;-2.395815E-05
-1.3;-2.288078E-05
-1.25;-2.206938E-05
-1.2;-2.057899E-05
-1.15;-1.960336E-05
-1.1;-1.870005E-05
-1.05;-1.673287E-05
-1;-1.581362E-05
-0.95;-1.414796E-05
-0.9;-1.281935E-05
-0.85;-9.18648E-06
-0.8;-5.618588E-06
-0.75;-4.255651E-06
-0.7;-2.27376E-06
-0.65;1.225527E-06
-0.6;5.416148E-06
-0.55;1.218564E-05
-0.5;2.4228E-05
-0.45;4.589326E-05
-0.4;8.604804E-05
-0.35;0.0001624513
-0.3;0.000306428
-0.25;0.0005717868
-0.2;0.00104334
-0.15;0.001846537
-0.1;0.003633756
-0.05;0.004890727
0;0.007391062
0.05;0.00918325
0.1;0.01138185
0.15;0.01357792
0.2;0.0157283
0.25;0.01782965
0.3;0.01987617
0.35;0.02285976
0.4;0.02477338
0.45;0.02664323
0.5;0.02847584
0.55;0.03025842
0.6;0.03199573
0.65;0.03368879
0.7;0.03535848
0.75;0.03698269
0.8;0.03856203
0.85;0.04008418
0.9;0.04155441
0.95;0.04305499
1;0.04446351
1.05;0.04581785
1.1;0.04714052
1.15;0.04839179
1.2;0.04959163
1.25;0.05072625
1.3;0.05178142
1.35;0.05280611
1.4;0.05376923
1.45;0.05468927
1.5;0.05554483
1.55;0.0563755
1.6;0.0571557
1.65;0.05789601
1.7;0.0586061
1.75;0.05928615
1.8;0.05991524
1.85;0.06049114
1.9;0.06105767
1.95;0.06160447
2;0.06212186
2.05;0.06261831
2.1;0.06309417
2.15;0.06354824
2.2;0.06398961
2.25;0.06440802
2.3;0.06481834
2.35;0.06522612
2.4;0.0656104
2.45;0.06597469
2.5;0.06633456
2.55;0.06668224
2.6;0.06702845
2.65;0.06736742
2.7;0.06767481
2.75;0.06798218
2.8;0.06827523
2.85;0.0685764
2.9;0.06883491
2.95;0.06908941
3;0.06934888
3.05;0.0696005
3.1;0.06982221
3.15;0.07004063
3.2;0.07027098
3.25;0.07047452
3.3;0.07066399
3.35;0.07084554
3.4;0.07102459
3.45;0.07121506
3.5;0.07137861
3.55;0.07154811
3.6;0.07171679
3.65;0.0718821
3.7;0.07204915
3.75;0.07221584
3.8;0.07238586
3.85;0.07255339
3.9;0.07272195
3.95;0.0728869
4;0.07306535
4.05;0.07324121
4.1;0.07339489
4.15;0.07355931
4.2;0.07374145
4.25;0.07391668
4.3;0.07408472
4.35;0.07426176
4.4;0.0744345
4.45;0.07461509
4.5;0.07478274
4.55;0.07496079
4.6;0.07514679
4.65;0.07531504
4.7;0.07551862
4.75;0.07569199
4.8;0.07586071
4.85;0.07602741
4.9;0.07619463
4.95;0.07635492
5;0.07651476
