Tensao [V];Corrente [A]
-5;-0,0003040815
-4,95;-0,0002878003
-4,9;-0,0002805416
-4,85;-0,0002763449
-4,8;-0,0002726738
-4,75;-0,0002703927
-4,7;-0,0002696538
-4,65;-0,0002677208
-4,6;-0,0002657987
-4,55;-0,0002634247
-4,5;-0,00026296
-4,45;-0,0002617295
-4,4;-0,0002599974
-4,35;-0,0002582865
-4,3;-0,0002584617
-4,25;-0,0002579234
-4,2;-0,0002559529
-4,15;-0,0002541461
-4,1;-0,0002530441
-4,05;-0,0002522635
-4;-0,0002506602
-3,95;-0,000249839
-3,9;-0,0002497005
-3,85;-0,0002486232
-3,8;-0,0002476069
-3,75;-0,0002459535
-3,7;-0,0002445842
-3,65;-0,0002436858
-3,6;-0,0002418326
-3,55;-0,0002404807
-3,5;-0,0002392145
-3,45;-0,0002390185
-3,4;-0,0002374763
-3,35;-0,0002355792
-3,3;-0,0002339942
-3,25;-0,0002330256
-3,2;-0,0002317462
-3,15;-0,0002297187
-3,1;-0,0002287973
-3,05;-0,0002278301
-3;-0,0002266817
-2,95;-0,0002245427
-2,9;-0,0002225131
-2,85;-0,0002203325
-2,8;-0,0002183997
-2,75;-0,0002165044
-2,7;-0,0002137002
-2,65;-0,0002113946
-2,6;-0,0002084197
-2,55;-0,000204424
-2,5;-0,0002020546
-2,45;-0,0001992771
-2,4;-0,0001957948
-2,35;-0,0001905292
-2,3;-0,0001854537
-2,25;-0,0001818659
-2,2;-0,0001769693
-2,15;-0,0001702768
-2,1;-0,0001622975
-2,05;-0,0001542201
-2;-0,0001451117
-1,95;-0,0001342239
-1,9;-0,0001202398
-1,85;-0,000105948
-1,8;-9,136571E-05
-1,75;-7,258667E-05
-1,7;-5,111713E-05
-1,65;-2,845867E-05
-1,6;-1,65977E-06
-1,55;2,897381E-05
-1,5;6,531074E-05
-1,45;0,0001104632
-1,4;0,0001665112
-1,35;0,000239966
-1,3;0,0003352411
-1,25;0,000457751
-1,2;0,0006199048
-1,15;0,0008305885
-1,1;0,001099923
-1,05;0,001439936
-1;0,001857667
-0,95;0,002518085
-0,9;0,002987212
-0,85;0,003686697
-0,8;0,004508812
-0,75;0,005444649
-0,7;0,006502747
-0,65;0,007695351
-0,6;0,009036942
-0,55;0,01055166
-0,5;0,01227272
-0,45;0,01423176
-0,4;0,01643536
-0,35;0,01887281
-0,3;0,02289126
-0,25;0,0258781
-0,2;0,02910119
-0,15;0,03257371
-0,1;0,0363198
-0,05;0,04034231
0;0,04462462
0,05;0,04907989
0,1;0,05370553
0,15;0,05841973
0,2;0,06318809
0,25;0,06799079
0,3;0,07282199
0,35;0,07767866
0,4;0,08258074
0,45;0,08754243
0,5;0,09254492
0,55;0,09758128
0,6;0,1026693
0,65;0,1078072
0,7;0,1129569
0,75;0,1181843
0,8;0,1233183
0,85;0,1284722
0,9;0,1336215
0,95;0,138723
1;0,1437624
1,05;0,148737
1,1;0,1536295
1,15;0,1584241
1,2;0,1630998
1,25;0,1676769
1,3;0,1721616
1,35;0,176525
1,4;0,1807696
1,45;0,1849143
1,5;0,1889855
1,55;0,1929447
1,6;0,196802
1,65;0,2005778
1,7;0,2042985
1,75;0,207948
1,8;0,2114483
1,85;0,2150741
1,9;0,218626
1,95;0,222092
2;0,2255074
2,05;0,2289031
2,1;0,2322446
2,15;0,235519
2,2;0,2387557
2,25;0,2419682
2,3;0,2451523
2,35;0,2482768
2,4;0,2513891
2,45;0,2544316
2,5;0,2574371
2,55;0,260388
2,6;0,2632928
2,65;0,2661525
2,7;0,2689867
2,75;0,2718249
2,8;0,2745554
2,85;0,2772817
2,9;0,279935
2,95;0,2824942
3;0,2850302
3,05;0,2875774
3,1;0,2900433
3,15;0,2924247
3,2;0,2948164
3,25;0,2970997
3,3;0,2994207
3,35;0,3017052
3,4;0,3039497
3,45;0,3061622
3,5;0,3083918
3,55;0,3105348
3,6;0,3127367
3,65;0,3148511
3,7;0,316997
3,75;0,3191
3,8;0,3211268
3,85;0,3232845
3,9;0,3253544
3,95;0,3273877
4;0,3293862
4,05;0,3313494
4,1;0,3333238
4,15;0,3353045
4,2;0,3371625
4,25;0,3390658
4,3;0,3409247
4,35;0,3427888
4,4;0,3446178
4,45;0,3464123
4,5;0,3481768
4,55;0,3499147
4,6;0,3516444
4,65;0,3533274
4,7;0,3550143
4,75;0,3566699
4,8;0,3583003
4,85;0,3598901
4,9;0,3614558
4,95;0,3630154
5;0,36454
