Tensao [V];Corrente [A]
-5;-7,076208E-05
-4,95;-6,030301E-05
-4,9;-5,539035E-05
-4,85;-5,24854E-05
-4,8;-5,041888E-05
-4,75;-4,822235E-05
-4,7;-4,678092E-05
-4,65;-4,544611E-05
-4,6;-4,367742E-05
-4,55;-4,195649E-05
-4,5;-4,124188E-05
-4,45;-4,055672E-05
-4,4;-3,932364E-05
-4,35;-3,691881E-05
-4,3;-3,521872E-05
-4,25;-3,456296E-05
-4,2;-3,417195E-05
-4,15;-3,353948E-05
-4,1;-3,293888E-05
-4,05;-3,222059E-05
-4;-3,130621E-05
-3,95;-2,994445E-05
-3,9;-2,841844E-05
-3,85;-2,779945E-05
-3,8;-2,647079E-05
-3,75;-2,547305E-05
-3,7;-2,358297E-05
-3,65;-2,272742E-05
-3,6;-2,254234E-05
-3,55;-2,133745E-05
-3,5;-2,065843E-05
-3,45;-2,038998E-05
-3,4;-1,973912E-05
-3,35;-1,905886E-05
-3,3;-1,830381E-05
-3,25;-1,762967E-05
-3,2;-1,670303E-05
-3,15;-1,584869E-05
-3,1;-1,528364E-05
-3,05;-1,443666E-05
-3;-1,337519E-05
-2,95;-1,249023E-05
-2,9;-1,153417E-05
-2,85;-1,134908E-05
-2,8;-1,058669E-05
-2,75;-9,606114E-06
-2,7;-8,808171E-06
-2,65;-7,577547E-06
-2,6;-7,398592E-06
-2,55;-6,313836E-06
-2,5;-5,443575E-06
-2,45;-3,866074E-06
-2,4;-3,020329E-06
-2,35;-3,036263E-06
-2,3;-2,490819E-06
-2,25;-2,574168E-06
-2,2;-1,767645E-06
-2,15;-1,048149E-06
-2,1;2,57247E-07
-2,05;1,39964E-06
-2;2,26134E-06
-1,95;3,261548E-06
-1,9;4,918756E-06
-1,85;6,070958E-06
-1,8;6,72428E-06
-1,75;6,883624E-06
-1,7;6,279336E-06
-1,65;6,675247E-06
-1,6;6,966976E-06
-1,55;7,090775E-06
-1,5;8,261364E-06
-1,45;9,066674E-06
-1,4;9,436852E-06
-1,35;9,86096E-06
-1,3;1,096413E-05
-1,25;1,210407E-05
-1,2;1,389367E-05
-1,15;1,605955E-05
-1,1;1,561338E-05
-1,05;1,463524E-05
-1;1,450653E-05
-0,95;1,528121E-05
-0,9;1,581809E-05
-0,85;1,659889E-05
-0,8;1,731837E-05
-0,75;1,840563E-05
-0,7;1,96902E-05
-0,65;2,02332E-05
-0,6;2,094658E-05
-0,55;2,250697E-05
-0,5;2,395581E-05
-0,45;2,339809E-05
-0,4;2,296908E-05
-0,35;2,33846E-05
-0,3;2,37989E-05
-0,25;2,454048E-05
-0,2;2,541932E-05
-0,15;2,581525E-05
-0,1;2,679953E-05
-0,05;2,793825E-05
0;2,791005E-05
0,05;2,769799E-05
0,1;2,776665E-05
0,15;2,712312E-05
0,2;2,647348E-05
0,25;2,576132E-05
0,3;2,522568E-05
0,35;2,549534E-05
0,4;2,571106E-05
0,45;2,601996E-05
0,5;2,621606E-05
0,55;2,630801E-05
0,6;2,655807E-05
0,65;2,750066E-05
0,7;2,866756E-05
0,75;2,998157E-05
0,8;2,959546E-05
0,85;2,926205E-05
0,9;2,909779E-05
0,95;2,933807E-05
1;3,008941E-05
1,05;3,109945E-05
1,1;3,147452E-05
1,15;3,226881E-05
1,2;3,303981E-05
1,25;3,394805E-05
1,3;3,481959E-05
1,35;3,613846E-05
1,4;3,708106E-05
1,45;3,676852E-05
1,5;3,637996E-05
1,55;3,651481E-05
1,6;3,681631E-05
1,65;3,733232E-05
1,7;3,783493E-05
1,75;3,824797E-05
1,8;3,880201E-05
1,85;3,963796E-05
1,9;4,02827E-05
1,95;4,128538E-05
2;4,300509E-05
2,05;4,33839E-05
2,1;4,32147E-05
2,15;4,358728E-05
2,2;4,386923E-05
2,25;4,459366E-05
2,3;4,541736E-05
2,35;4,569314E-05
2,4;4,66235E-05
2,45;4,731603E-05
2,5;4,819002E-05
2,55;4,841065E-05
2,6;5,016588E-05
2,65;5,144068E-05
2,7;5,190523E-05
2,75;5,186845E-05
2,8;5,196897E-05
2,85;5,219329E-05
2,9;5,247396E-05
2,95;5,30427E-05
3;5,382352E-05
3,05;5,493158E-05
3,1;5,557146E-05
3,15;5,728993E-05
3,2;5,829628E-05
3,25;5,775084E-05
3,3;5,73647E-05
3,35;5,738674E-05
3,4;5,956981E-05
3,45;6,084581E-05
3,5;6,161557E-05
3,55;6,275798E-05
3,6;6,367973E-05
3,65;6,506848E-05
3,7;6,597192E-05
3,75;6,607608E-05
3,8;6,685443E-05
3,85;6,902772E-05
3,9;7,079269E-05
3,95;7,541992E-05
4;7,48904E-05
4,05;7,19817E-05
4,1;7,090181E-05
4,15;6,994817E-05
4,2;6,914047E-05
4,25;6,849815E-05
4,3;7,095208E-05
4,35;7,102439E-05
4,4;7,148773E-05
4,45;7,221095E-05
4,5;7,383257E-05
4,55;7,480827E-05
4,6;7,526188E-05
4,65;7,485975E-05
4,7;7,510854E-05
4,75;7,523118E-05
4,8;7,536845E-05
4,85;7,540397E-05
4,9;7,632699E-05
4,95;7,71372E-05
5;7,806257E-05
